,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage_Dem,Total_Dem_Votes,Total_Dem_Percent
53,President/Vice President,Democratic Party,RIO GRANDE,Joseph R. Biden / Kamala D. Harris,"2,495","1,804,352",55.40%
54,President/Vice President,Democratic Party,ROUTT,Joseph R. Biden / Kamala D. Harris,"10,582","1,804,352",55.40%
55,President/Vice President,Democratic Party,SAGUACHE,Joseph R. Biden / Kamala D. Harris,"1,884","1,804,352",55.40%
56,President/Vice President,Democratic Party,SAN JUAN,Joseph R. Biden / Kamala D. Harris,342,"1,804,352",55.40%
57,President/Vice President,Democratic Party,SAN MIGUEL,Joseph R. Biden / Kamala D. Harris,"3,924","1,804,352",55.40%
58,President/Vice President,Democratic Party,SEDGWICK,Joseph R. Biden / Kamala D. Harris,301,"1,804,352",55.40%
59,President/Vice President,Democratic Party,SUMMIT,Joseph R. Biden / Kamala D. Harris,"12,631","1,804,352",55.40%
60,President/Vice President,Democratic Party,TELLER,Joseph R. Biden / Kamala D. Harris,"5,278","1,804,352",55.40%
61,President/Vice President,Democratic Party,WASHINGTON,Joseph R. Biden / Kamala D. Harris,369,"1,804,352",55.40%
62,President/Vice President,Democratic Party,WELD,Joseph R. Biden / Kamala D. Harris,"66,060","1,804,352",55.40%
63,President/Vice President,Democratic Party,YUMA,Joseph R. Biden / Kamala D. Harris,785,"1,804,352",55.40%
,,,,,,,
