,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
36,President/Vice President,Democratic Party,LAS ANIMAS,Joseph R. Biden / Kamala D. Harris,"3,497",
37,President/Vice President,Democratic Party,LINCOLN,Joseph R. Biden / Kamala D. Harris,470,
38,President/Vice President,Democratic Party,LOGAN,Joseph R. Biden / Kamala D. Harris,"2,218",
39,President/Vice President,Democratic Party,MESA,Joseph R. Biden / Kamala D. Harris,"31,536",
40,President/Vice President,Democratic Party,MINERAL,Joseph R. Biden / Kamala D. Harris,317,
41,President/Vice President,Democratic Party,MOFFAT,Joseph R. Biden / Kamala D. Harris,"1,203",
42,President/Vice President,Democratic Party,MONTEZUMA,Joseph R. Biden / Kamala D. Harris,"5,836",
43,President/Vice President,Democratic Party,MONTROSE,Joseph R. Biden / Kamala D. Harris,"7,687",
44,President/Vice President,Democratic Party,MORGAN,Joseph R. Biden / Kamala D. Harris,"3,876",
45,President/Vice President,Democratic Party,OTERO,Joseph R. Biden / Kamala D. Harris,"3,605",
46,President/Vice President,Democratic Party,OURAY,Joseph R. Biden / Kamala D. Harris,"2,365",
47,President/Vice President,Democratic Party,PARK,Joseph R. Biden / Kamala D. Harris,"4,903",
48,President/Vice President,Democratic Party,PHILLIPS,Joseph R. Biden / Kamala D. Harris,486,
49,President/Vice President,Democratic Party,PITKIN,Joseph R. Biden / Kamala D. Harris,"8,989",
50,President/Vice President,Democratic Party,PROWERS,Joseph R. Biden / Kamala D. Harris,"1,458",
51,President/Vice President,Democratic Party,PUEBLO,Joseph R. Biden / Kamala D. Harris,"43,772",
52,President/Vice President,Democratic Party,RIO BLANCO,Joseph R. Biden / Kamala D. Harris,561,
53,President/Vice President,Democratic Party,RIO GRANDE,Joseph R. Biden / Kamala D. Harris,"2,495",
54,President/Vice President,Democratic Party,ROUTT,Joseph R. Biden / Kamala D. Harris,"10,582",
55,President/Vice President,Democratic Party,SAGUACHE,Joseph R. Biden / Kamala D. Harris,"1,884",
56,President/Vice President,Democratic Party,SAN JUAN,Joseph R. Biden / Kamala D. Harris,342,
57,President/Vice President,Democratic Party,SAN MIGUEL,Joseph R. Biden / Kamala D. Harris,"3,924",
58,President/Vice President,Democratic Party,SEDGWICK,Joseph R. Biden / Kamala D. Harris,301,
59,President/Vice President,Democratic Party,SUMMIT,Joseph R. Biden / Kamala D. Harris,"12,631",
60,President/Vice President,Democratic Party,TELLER,Joseph R. Biden / Kamala D. Harris,"5,278",
61,President/Vice President,Democratic Party,WASHINGTON,Joseph R. Biden / Kamala D. Harris,369,
62,President/Vice President,Democratic Party,WELD,Joseph R. Biden / Kamala D. Harris,"66,060",
63,President/Vice President,Democratic Party,YUMA,Joseph R. Biden / Kamala D. Harris,785,
