County,Office/Ballot Issue_dem,Party_dem,Candidate/Judge/Ballot Issue Title_dem,Yes Votes/Percentage_Dem,Total_Dem_Votes,Total_Dem_Percent,Office/Ballot Issue_rep,Party_rep,Candidate/Judge/Ballot Issue Title_rep,Yes Votes/Percentage_Rep,Total_Rep_Votes,Total_Rep_Percent,Unnamed: 8
JEFFERSON,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"160,776","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"138,177","1,202,484",43.25%,
KIOWA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,91,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,728,"1,202,484",43.25%,
KIT CARSON,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,536,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,967","1,202,484",43.25%,
LAKE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,616","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,270","1,202,484",43.25%,
LA PLATA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"15,525","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"12,587","1,202,484",43.25%,
LARIMER,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"93,113","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"83,430","1,202,484",43.25%,
LAS ANIMAS,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"2,650","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,710","1,202,484",43.25%,
LINCOLN,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,409,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,892","1,202,484",43.25%,
LOGAN,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,851","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"7,282","1,202,484",43.25%,
MESA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"21,729","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"49,779","1,202,484",43.25%,
MINERAL,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,237,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,344,"1,202,484",43.25%,
MOFFAT,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,874,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"5,305","1,202,484",43.25%,
MONTEZUMA,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"3,973","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"7,853","1,202,484",43.25%,
MONTROSE,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"5,466","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"14,382","1,202,484",43.25%,
MORGAN,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"3,151","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"8,145","1,202,484",43.25%,
OTERO,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"2,943","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"4,928","1,202,484",43.25%,
OURAY,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,697","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,351","1,202,484",43.25%,
PARK,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"3,421","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"6,135","1,202,484",43.25%,
PHILLIPS,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,436,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,791","1,202,484",43.25%,
PITKIN,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"7,333","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,550","1,202,484",43.25%,
PROWERS,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"1,186","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,531","1,202,484",43.25%,
PUEBLO,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,"35,875","1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"36,265","1,202,484",43.25%,
RIO BLANCO,President/Vice President,Democratic Party,Hillary Clinton / Tim Kaine,436,"1,338,870",48.16%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,791","1,202,484",43.25%,
