County,Office/Ballot Issue_dem,Party_dem,Candidate/Judge/Ballot Issue Title_dem,Yes Votes/Percentage_Dem,Total_Dem_Votes,Total_Dem_Percent,Office/Ballot Issue_rep,Party_rep,Candidate/Judge/Ballot Issue Title_rep,Yes Votes/Percentage_Rep,Total_Rep_Votes,Total_Rep_Percent
JACKSON,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,175,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,681,"1,364,607",41.90%
JEFFERSON,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"218,396","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"148,417","1,364,607",41.90%
KIOWA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,98,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,795,"1,364,607",41.90%
KIT CARSON,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,662,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"3,144","1,364,607",41.90%
LAKE,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"2,303","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"1,497","1,364,607",41.90%
LA PLATA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"20,548","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"14,233","1,364,607",41.90%
LARIMER,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"126,120","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"91,489","1,364,607",41.90%
LAS ANIMAS,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"3,497","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"4,284","1,364,607",41.90%
LINCOLN,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,470,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"2,135","1,364,607",41.90%
LOGAN,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"2,218","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"8,087","1,364,607",41.90%
MESA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"31,536","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"56,894","1,364,607",41.90%
MINERAL,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,317,"1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,427,"1,364,607",41.90%
MOFFAT,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"1,203","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"5,670","1,364,607",41.90%
MONTEZUMA,President/Vice President,Democratic Party,Joseph R. Biden / Kamala D. Harris,"5,836","1,804,352",55.40%,President/Vice President,Republican Party,Donald J. Trump / Michael R. Pence,"9,306","1,364,607",41.90%
