,Office/Ballot Issue,ACP,County,Candidate_ACP,ACPVotes,Total_Votes_ACP,UPC,Candidate_UPC,UPCVotes,Total_Votes_UPC,GREEN,Candidate_Green,GreenVotes,Total_Votes_Green,AVP,Candidate_AVP,AVPVotes,Total_Votes_AVP,LIB,Candidate_Lib,LibVotes,Total_Lib_Votes
149,President/Vice President,American Constitution Party,DOLORES,Don Blankenship / William Mohr,5,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1,2730,Green Party,Howie Hawkins / Angela Nicole Walker,1,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",5,52460
150,President/Vice President,American Constitution Party,DOUGLAS,Don Blankenship / William Mohr,303,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,209,2730,Green Party,Howie Hawkins / Angela Nicole Walker,432,8986,Approval Voting Party,Blake Huber / Frank Atwood,14,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",3715,52460
151,President/Vice President,American Constitution Party,EAGLE,Don Blankenship / William Mohr,34,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,32,2730,Green Party,Howie Hawkins / Angela Nicole Walker,78,8986,Approval Voting Party,Blake Huber / Frank Atwood,2,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",377,52460
152,President/Vice President,American Constitution Party,ELBERT,Don Blankenship / William Mohr,30,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,15,2730,Green Party,Howie Hawkins / Angela Nicole Walker,31,8986,Approval Voting Party,Blake Huber / Frank Atwood,4,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",306,52460
153,President/Vice President,American Constitution Party,EL PASO,Don Blankenship / William Mohr,702,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,360,2730,Green Party,Howie Hawkins / Angela Nicole Walker,1135,8986,Approval Voting Party,Blake Huber / Frank Atwood,35,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",9264,52460
154,President/Vice President,American Constitution Party,FREMONT,Don Blankenship / William Mohr,60,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,22,2730,Green Party,Howie Hawkins / Angela Nicole Walker,59,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",397,52460
155,President/Vice President,American Constitution Party,GARFIELD,Don Blankenship / William Mohr,60,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,26,2730,Green Party,Howie Hawkins / Angela Nicole Walker,99,8986,Approval Voting Party,Blake Huber / Frank Atwood,5,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",424,52460
156,President/Vice President,American Constitution Party,GILPIN,Don Blankenship / William Mohr,10,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2,2730,Green Party,Howie Hawkins / Angela Nicole Walker,17,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",70,52460
157,President/Vice President,American Constitution Party,GRAND,Don Blankenship / William Mohr,18,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,4,2730,Green Party,Howie Hawkins / Angela Nicole Walker,31,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",174,52460
158,President/Vice President,American Constitution Party,GUNNISON,Don Blankenship / William Mohr,13,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,7,2730,Green Party,Howie Hawkins / Angela Nicole Walker,39,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",210,52460
159,President/Vice President,American Constitution Party,HINSDALE,Don Blankenship / William Mohr,4,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,0,2730,Green Party,Howie Hawkins / Angela Nicole Walker,1,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",10,52460
160,President/Vice President,American Constitution Party,HUERFANO,Don Blankenship / William Mohr,9,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2,2730,Green Party,Howie Hawkins / Angela Nicole Walker,12,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",71,52460
161,President/Vice President,American Constitution Party,JACKSON,Don Blankenship / William Mohr,2,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1,2730,Green Party,Howie Hawkins / Angela Nicole Walker,2,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",12,52460
162,President/Vice President,American Constitution Party,JEFFERSON,Don Blankenship / William Mohr,631,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,318,2730,Green Party,Howie Hawkins / Angela Nicole Walker,1089,8986,Approval Voting Party,Blake Huber / Frank Atwood,39,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",6394,52460
163,President/Vice President,American Constitution Party,KIOWA,Don Blankenship / William Mohr,0,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,0,2730,Green Party,Howie Hawkins / Angela Nicole Walker,0,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",9,52460
164,President/Vice President,American Constitution Party,KIT CARSON,Don Blankenship / William Mohr,11,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2,2730,Green Party,Howie Hawkins / Angela Nicole Walker,2,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",34,52460
165,President/Vice President,American Constitution Party,LAKE,Don Blankenship / William Mohr,4,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,4,2730,Green Party,Howie Hawkins / Angela Nicole Walker,23,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",101,52460
166,President/Vice President,American Constitution Party,LA PLATA,Don Blankenship / William Mohr,37,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,23,2730,Green Party,Howie Hawkins / Angela Nicole Walker,128,8986,Approval Voting Party,Blake Huber / Frank Atwood,4,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",530,52460
167,President/Vice President,American Constitution Party,LARIMER,Don Blankenship / William Mohr,372,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,195,2730,Green Party,Howie Hawkins / Angela Nicole Walker,727,8986,Approval Voting Party,Blake Huber / Frank Atwood,20,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",4089,52460
168,President/Vice President,American Constitution Party,LAS ANIMAS,Don Blankenship / William Mohr,19,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,5,2730,Green Party,Howie Hawkins / Angela Nicole Walker,17,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",86,52460
169,President/Vice President,American Constitution Party,LINCOLN,Don Blankenship / William Mohr,7,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1,2730,Green Party,Howie Hawkins / Angela Nicole Walker,1,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",26,52460
170,President/Vice President,American Constitution Party,LOGAN,Don Blankenship / William Mohr,18,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,4,2730,Green Party,Howie Hawkins / Angela Nicole Walker,16,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",139,52460
171,President/Vice President,American Constitution Party,MESA,Don Blankenship / William Mohr,200,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,65,2730,Green Party,Howie Hawkins / Angela Nicole Walker,188,8986,Approval Voting Party,Blake Huber / Frank Atwood,12,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1306,52460
172,President/Vice President,American Constitution Party,MINERAL,Don Blankenship / William Mohr,5,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,0,2730,Green Party,Howie Hawkins / Angela Nicole Walker,0,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",3,52460
173,President/Vice President,American Constitution Party,MOFFAT,Don Blankenship / William Mohr,6,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,3,2730,Green Party,Howie Hawkins / Angela Nicole Walker,7,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",97,52460
174,President/Vice President,American Constitution Party,MONTEZUMA,Don Blankenship / William Mohr,26,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,16,2730,Green Party,Howie Hawkins / Angela Nicole Walker,33,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",192,52460
175,President/Vice President,American Constitution Party,MONTROSE,Don Blankenship / William Mohr,30,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,16,2730,Green Party,Howie Hawkins / Angela Nicole Walker,49,8986,Approval Voting Party,Blake Huber / Frank Atwood,2,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",285,52460
176,President/Vice President,American Constitution Party,MORGAN,Don Blankenship / William Mohr,14,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,11,2730,Green Party,Howie Hawkins / Angela Nicole Walker,26,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",151,52460
177,President/Vice President,American Constitution Party,OTERO,Don Blankenship / William Mohr,15,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,10,2730,Green Party,Howie Hawkins / Angela Nicole Walker,16,8986,Approval Voting Party,Blake Huber / Frank Atwood,3,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",88,52460
178,President/Vice President,American Constitution Party,OURAY,Don Blankenship / William Mohr,5,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2,2730,Green Party,Howie Hawkins / Angela Nicole Walker,12,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",46,52460
179,President/Vice President,American Constitution Party,PARK,Don Blankenship / William Mohr,29,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,11,2730,Green Party,Howie Hawkins / Angela Nicole Walker,56,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",238,52460
180,President/Vice President,American Constitution Party,PHILLIPS,Don Blankenship / William Mohr,3,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1,2730,Green Party,Howie Hawkins / Angela Nicole Walker,7,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",24,52460
181,President/Vice President,American Constitution Party,PITKIN,Don Blankenship / William Mohr,9,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,10,2730,Green Party,Howie Hawkins / Angela Nicole Walker,41,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",94,52460
182,President/Vice President,American Constitution Party,PROWERS,Don Blankenship / William Mohr,13,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,3,2730,Green Party,Howie Hawkins / Angela Nicole Walker,9,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",39,52460
183,President/Vice President,American Constitution Party,PUEBLO,Don Blankenship / William Mohr,169,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,94,2730,Green Party,Howie Hawkins / Angela Nicole Walker,205,8986,Approval Voting Party,Blake Huber / Frank Atwood,12,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",1200,52460
184,President/Vice President,American Constitution Party,RIO BLANCO,Don Blankenship / William Mohr,4,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,3,2730,Green Party,Howie Hawkins / Angela Nicole Walker,3,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",42,52460
185,President/Vice President,American Constitution Party,RIO GRANDE,Don Blankenship / William Mohr,15,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2,2730,Green Party,Howie Hawkins / Angela Nicole Walker,11,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",66,52460
186,President/Vice President,American Constitution Party,ROUTT,Don Blankenship / William Mohr,20,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,15,2730,Green Party,Howie Hawkins / Angela Nicole Walker,37,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",236,52460
187,President/Vice President,American Constitution Party,SAGUACHE,Don Blankenship / William Mohr,8,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2,2730,Green Party,Howie Hawkins / Angela Nicole Walker,13,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",39,52460
188,President/Vice President,American Constitution Party,SAN JUAN,Don Blankenship / William Mohr,1,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1,2730,Green Party,Howie Hawkins / Angela Nicole Walker,2,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",7,52460
189,President/Vice President,American Constitution Party,SAN MIGUEL,Don Blankenship / William Mohr,2,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2,2730,Green Party,Howie Hawkins / Angela Nicole Walker,14,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",52,52460
190,President/Vice President,American Constitution Party,SEDGWICK,Don Blankenship / William Mohr,7,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,1,2730,Green Party,Howie Hawkins / Angela Nicole Walker,1,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",8,52460
191,President/Vice President,American Constitution Party,SUMMIT,Don Blankenship / William Mohr,16,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,14,2730,Green Party,Howie Hawkins / Angela Nicole Walker,60,8986,Approval Voting Party,Blake Huber / Frank Atwood,3,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",353,52460
192,President/Vice President,American Constitution Party,TELLER,Don Blankenship / William Mohr,28,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,10,2730,Green Party,Howie Hawkins / Angela Nicole Walker,25,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",267,52460
193,President/Vice President,American Constitution Party,WASHINGTON,Don Blankenship / William Mohr,4,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2,2730,Green Party,Howie Hawkins / Angela Nicole Walker,5,8986,Approval Voting Party,Blake Huber / Frank Atwood,1,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",25,52460
194,President/Vice President,American Constitution Party,WELD,Don Blankenship / William Mohr,363,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,170,2730,Green Party,Howie Hawkins / Angela Nicole Walker,340,8986,Approval Voting Party,Blake Huber / Frank Atwood,18,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",2895,52460
195,President/Vice President,American Constitution Party,YUMA,Don Blankenship / William Mohr,8,5061,Unity Party of Colorado,Bill Hammons / Eric Bodenstab,2,2730,Green Party,Howie Hawkins / Angela Nicole Walker,2,8986,Approval Voting Party,Blake Huber / Frank Atwood,0,355,Libertarian Party,"Jo Jorgensen / Jeremy ""Spike"" Cohen",52,52460
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
