,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
155,President/Vice President,American Constitution Party,GARFIELD,Don Blankenship / William Mohr,60,
156,President/Vice President,American Constitution Party,GILPIN,Don Blankenship / William Mohr,10,
157,President/Vice President,American Constitution Party,GRAND,Don Blankenship / William Mohr,18,
158,President/Vice President,American Constitution Party,GUNNISON,Don Blankenship / William Mohr,13,
159,President/Vice President,American Constitution Party,HINSDALE,Don Blankenship / William Mohr,4,
160,President/Vice President,American Constitution Party,HUERFANO,Don Blankenship / William Mohr,9,
161,President/Vice President,American Constitution Party,JACKSON,Don Blankenship / William Mohr,2,
162,President/Vice President,American Constitution Party,JEFFERSON,Don Blankenship / William Mohr,631,
163,President/Vice President,American Constitution Party,KIOWA,Don Blankenship / William Mohr,0,
164,President/Vice President,American Constitution Party,KIT CARSON,Don Blankenship / William Mohr,11,
165,President/Vice President,American Constitution Party,LAKE,Don Blankenship / William Mohr,4,
166,President/Vice President,American Constitution Party,LA PLATA,Don Blankenship / William Mohr,37,
167,President/Vice President,American Constitution Party,LARIMER,Don Blankenship / William Mohr,372,
168,President/Vice President,American Constitution Party,LAS ANIMAS,Don Blankenship / William Mohr,19,
169,President/Vice President,American Constitution Party,LINCOLN,Don Blankenship / William Mohr,7,
170,President/Vice President,American Constitution Party,LOGAN,Don Blankenship / William Mohr,18,
171,President/Vice President,American Constitution Party,MESA,Don Blankenship / William Mohr,200,
172,President/Vice President,American Constitution Party,MINERAL,Don Blankenship / William Mohr,5,
173,President/Vice President,American Constitution Party,MOFFAT,Don Blankenship / William Mohr,6,
174,President/Vice President,American Constitution Party,MONTEZUMA,Don Blankenship / William Mohr,26,
175,President/Vice President,American Constitution Party,MONTROSE,Don Blankenship / William Mohr,30,
176,President/Vice President,American Constitution Party,MORGAN,Don Blankenship / William Mohr,14,
177,President/Vice President,American Constitution Party,OTERO,Don Blankenship / William Mohr,15,
178,President/Vice President,American Constitution Party,OURAY,Don Blankenship / William Mohr,5,
179,President/Vice President,American Constitution Party,PARK,Don Blankenship / William Mohr,29,
180,President/Vice President,American Constitution Party,PHILLIPS,Don Blankenship / William Mohr,3,
181,President/Vice President,American Constitution Party,PITKIN,Don Blankenship / William Mohr,9,
182,President/Vice President,American Constitution Party,PROWERS,Don Blankenship / William Mohr,13,
183,President/Vice President,American Constitution Party,PUEBLO,Don Blankenship / William Mohr,169,
184,President/Vice President,American Constitution Party,RIO BLANCO,Don Blankenship / William Mohr,4,
185,President/Vice President,American Constitution Party,RIO GRANDE,Don Blankenship / William Mohr,15,
186,President/Vice President,American Constitution Party,ROUTT,Don Blankenship / William Mohr,20,
187,President/Vice President,American Constitution Party,SAGUACHE,Don Blankenship / William Mohr,8,
188,President/Vice President,American Constitution Party,SAN JUAN,Don Blankenship / William Mohr,1,
189,President/Vice President,American Constitution Party,SAN MIGUEL,Don Blankenship / William Mohr,2,
190,President/Vice President,American Constitution Party,SEDGWICK,Don Blankenship / William Mohr,7,
191,President/Vice President,American Constitution Party,SUMMIT,Don Blankenship / William Mohr,16,
192,President/Vice President,American Constitution Party,TELLER,Don Blankenship / William Mohr,28,
193,President/Vice President,American Constitution Party,WASHINGTON,Don Blankenship / William Mohr,4,
194,President/Vice President,American Constitution Party,WELD,Don Blankenship / William Mohr,363,
195,President/Vice President,American Constitution Party,YUMA,Don Blankenship / William Mohr,8,
196,President/Vice President,American Constitution Party,,Don Blankenship / William Mohr Total Votes,"5,061",
197,President/Vice President,American Constitution Party,,Don Blankenship / William Mohr Vote %,0.16%,
198,President/Vice President,Unity Party of Colorado,ADAMS,Bill Hammons / Eric Bodenstab,264,
199,President/Vice President,Unity Party of Colorado,ALAMOSA,Bill Hammons / Eric Bodenstab,6,
200,President/Vice President,Unity Party of Colorado,ARAPAHOE,Bill Hammons / Eric Bodenstab,328,
201,President/Vice President,Unity Party of Colorado,ARCHULETA,Bill Hammons / Eric Bodenstab,9,
202,President/Vice President,Unity Party of Colorado,BACA,Bill Hammons / Eric Bodenstab,0,
203,President/Vice President,Unity Party of Colorado,BENT,Bill Hammons / Eric Bodenstab,0,
204,President/Vice President,Unity Party of Colorado,BOULDER,Bill Hammons / Eric Bodenstab,122,
205,President/Vice President,Unity Party of Colorado,BROOMFIELD,Bill Hammons / Eric Bodenstab,46,
206,President/Vice President,Unity Party of Colorado,CHAFFEE,Bill Hammons / Eric Bodenstab,10,
207,President/Vice President,Unity Party of Colorado,CHEYENNE,Bill Hammons / Eric Bodenstab,0,
208,President/Vice President,Unity Party of Colorado,CLEAR CREEK,Bill Hammons / Eric Bodenstab,3,
209,President/Vice President,Unity Party of Colorado,CONEJOS,Bill Hammons / Eric Bodenstab,1,
210,President/Vice President,Unity Party of Colorado,COSTILLA,Bill Hammons / Eric Bodenstab,2,
211,President/Vice President,Unity Party of Colorado,CROWLEY,Bill Hammons / Eric Bodenstab,3,
212,President/Vice President,Unity Party of Colorado,CUSTER,Bill Hammons / Eric Bodenstab,4,
213,President/Vice President,Unity Party of Colorado,DELTA,Bill Hammons / Eric Bodenstab,11,
214,President/Vice President,Unity Party of Colorado,DENVER,Bill Hammons / Eric Bodenstab,222,
215,President/Vice President,Unity Party of Colorado,DOLORES,Bill Hammons / Eric Bodenstab,1,
216,President/Vice President,Unity Party of Colorado,DOUGLAS,Bill Hammons / Eric Bodenstab,209,
